AccountStatus,Months,CreditHistory,Purpose,Amount,Savings,Employment,InstallmentRate,Sex,Status,Other,ResidenceSince,Property,Age,InstallmentPlans,Housing,CreditsHere,Job,LiablePeople,Telephone,ForeignWorker,Risk
0 - 200 DM,6.0,Some paid back,Radio/television,590.0,< 100 DM,< 1 year,3.0,Male,Married/Separated/Widowed,None,3.0,Real estate,26.0,None,Own,1.0,Unskilled resident,1.0,None,No,Good
0 - 200 DM,15.0,Critical,Business,2326.0,500 - 1000 DM,1 - 4 years,2.0,Male,Single,None,4.0,Car or other,27.0,Bank,Own,1.0,Employee,1.0,None,Yes,Good
No account,30.0,Some paid back,Radio/television,1867.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Car or other,58.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Some paid back,Radio/television,1376.0,500 - 1000 DM,4 - 7 years,4.0,Female,Married/Separated/Widowed,None,1.0,Car or other,28.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,6.0,Some paid back,Car (used),1352.0,500 - 1000 DM,Unemployed,1.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,23.0,None,Rent,1.0,Unemployed/unskilled non-resident,1.0,Registered,Yes,Good
0 - 200 DM,12.0,Some paid back,Furniture/equipment,983.0,>= 1000 DM,< 1 year,1.0,Female,Married/Separated/Widowed,None,4.0,Real estate,19.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,30.0,Some paid back,Furniture/equipment,3622.0,>= 1000 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,57.0,None,Rent,2.0,Employee,1.0,Registered,Yes,Good
< 0 DM,24.0,Some paid back,Furniture/equipment,3149.0,< 100 DM,< 1 year,4.0,Male,Single,None,1.0,Unknown/None,22.0,Bank,For free,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,60.0,Past delays,Radio/television,9157.0,Unknown/None,1 - 4 years,2.0,Male,Single,None,2.0,Unknown/None,27.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Radio/television,866.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,Guarantor,2.0,Real estate,25.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,11.0,Some paid back,Business,2142.0,>= 1000 DM,>= 7 years,1.0,Male,Married/Separated/Widowed,None,2.0,Real estate,28.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,36.0,Past delays,Car (used),8947.0,Unknown/None,4 - 7 years,3.0,Male,Single,None,2.0,Car or other,31.0,Stores,Own,1.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
No account,36.0,Critical,Business,6304.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Real estate,36.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,6.0,Some paid back,Furniture/equipment,1766.0,< 100 DM,1 - 4 years,1.0,Male,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,21.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,12.0,Some paid back,Radio/television,3399.0,Unknown/None,>= 7 years,2.0,Male,Single,None,3.0,Car or other,37.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,None,Yes,Good
0 - 200 DM,11.0,Critical,Car (new),1322.0,>= 1000 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,40.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,15.0,Some paid back,Car (used),1300.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,45.0,Bank,For free,1.0,Employee,2.0,None,Yes,Good
< 0 DM,14.0,Some paid back,Car (new),3973.0,< 100 DM,Unemployed,1.0,Male,Single,None,4.0,Unknown/None,22.0,None,For free,1.0,Employee,1.0,None,Yes,Good
No account,18.0,Some paid back,Furniture/equipment,2515.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,4.0,Real estate,43.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,15.0,Critical,Radio/television,1471.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,4.0,Unknown/None,35.0,None,For free,2.0,Employee,1.0,Registered,Yes,Good
< 0 DM,30.0,No history,Furniture/equipment,4583.0,< 100 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,Guarantor,2.0,Real estate,32.0,None,Own,2.0,Employee,1.0,None,Yes,Good
< 0 DM,36.0,Some paid back,Car (new),3249.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,4.0,Unknown/None,39.0,Bank,For free,1.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
No account,15.0,Past delays,Car (used),3594.0,< 100 DM,< 1 year,1.0,Female,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,46.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,36.0,Critical,Car (new),3535.0,< 100 DM,4 - 7 years,4.0,Male,Single,None,4.0,Car or other,37.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,6.0,Critical,Car (new),1323.0,100 - 500 DM,>= 7 years,2.0,Male,Married/Separated/Widowed,None,4.0,Car or other,28.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
No account,36.0,Some paid back,Car (new),909.0,500 - 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,36.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Critical,Car (new),2366.0,500 - 1000 DM,4 - 7 years,3.0,Male,Married/Separated/Widowed,None,3.0,Car or other,36.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Radio/television,1680.0,500 - 1000 DM,>= 7 years,3.0,Male,Married/Separated/Widowed,None,1.0,Real estate,35.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,42.0,Critical,Business,5954.0,< 100 DM,4 - 7 years,2.0,Female,Married/Separated/Widowed,None,1.0,Real estate,41.0,Bank,Own,2.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,12.0,Some paid back,Furniture/equipment,652.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,24.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Radio/television,790.0,500 - 1000 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,3.0,Real estate,66.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Repairs,3872.0,< 100 DM,Unemployed,2.0,Female,Married/Separated/Widowed,None,4.0,Car or other,67.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Critical,Education,701.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,32.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,45.0,Critical,Car (used),4576.0,100 - 500 DM,Unemployed,3.0,Male,Single,None,4.0,Car or other,27.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,10.0,Some paid back,Furniture/equipment,1521.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,2.0,Car or other,31.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,24.0,Some paid back,Car (used),2964.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,49.0,Bank,For free,1.0,Employee,2.0,Registered,Yes,Good
>= 200 DM / salary >1yr,6.0,Past delays,Radio/television,683.0,< 100 DM,< 1 year,2.0,Female,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,29.0,Bank,Own,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Some paid back,Furniture/equipment,5511.0,100 - 500 DM,1 - 4 years,4.0,Male,Single,None,1.0,Car or other,25.0,Stores,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Radio/television,1082.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,27.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Business,4526.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,2.0,Real estate,74.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,6.0,Critical,Radio/television,338.0,500 - 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,52.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Car (used),6842.0,Unknown/None,1 - 4 years,2.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,46.0,None,Own,2.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
No account,12.0,Some paid back,Radio/television,2279.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,4.0,Unknown/None,37.0,None,For free,1.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,4.0,Some paid back,Car (new),1494.0,Unknown/None,< 1 year,1.0,Male,Single,None,2.0,Real estate,29.0,None,Own,1.0,Unskilled resident,2.0,None,No,Good
0 - 200 DM,12.0,Some paid back,Car (new),6078.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,2.0,Car or other,32.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,30.0,Critical,Radio/television,3656.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,49.0,Stores,Own,2.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,24.0,Critical,Business,1382.0,100 - 500 DM,4 - 7 years,4.0,Male,Single,None,1.0,Real estate,26.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,15.0,Critical,Radio/television,1829.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,46.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,18.0,All paid back,Radio/television,1445.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,4.0,Car or other,49.0,Bank,Own,1.0,Unskilled resident,1.0,None,Yes,Good
>= 200 DM / salary >1yr,12.0,Some paid back,Furniture/equipment,1424.0,Unknown/None,>= 7 years,3.0,Female,Married/Separated/Widowed,None,4.0,Real estate,55.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,27.0,Past delays,Car (used),8613.0,>= 1000 DM,1 - 4 years,2.0,Male,Single,None,2.0,Car or other,27.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Critical,Car (new),3124.0,< 100 DM,< 1 year,1.0,Male,Single,None,3.0,Real estate,49.0,Bank,Own,2.0,Unskilled resident,2.0,None,Yes,Good
< 0 DM,18.0,Some paid back,Furniture/equipment,3650.0,< 100 DM,< 1 year,1.0,Female,Married/Separated/Widowed,None,4.0,Car or other,22.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Some paid back,Business,1037.0,100 - 500 DM,4 - 7 years,3.0,Male,Single,None,4.0,Real estate,39.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,6.0,Some paid back,Repairs,660.0,500 - 1000 DM,4 - 7 years,2.0,Male,Married/Separated/Widowed,None,4.0,Real estate,23.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Furniture/equipment,3001.0,< 100 DM,4 - 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Real estate,40.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Some paid back,Furniture/equipment,929.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,2.0,Car or other,31.0,Stores,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Critical,Business,1185.0,< 100 DM,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,2.0,Real estate,27.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,24.0,Some paid back,Furniture/equipment,4351.0,Unknown/None,1 - 4 years,1.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,48.0,None,Own,1.0,Unskilled resident,1.0,Registered,Yes,Good
No account,18.0,Some paid back,Furniture/equipment,3422.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,47.0,Bank,Own,3.0,Employee,2.0,Registered,Yes,Good
No account,24.0,Past delays,Car (new),717.0,Unknown/None,>= 7 years,4.0,Male,Married/Separated/Widowed,None,4.0,Car or other,54.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,36.0,Critical,Car (used),5711.0,>= 1000 DM,>= 7 years,4.0,Male,Single,None,2.0,Car or other,38.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,24.0,Past delays,Business,2978.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,32.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
0 - 200 DM,48.0,Some paid back,Other,5381.0,Unknown/None,Unemployed,3.0,Male,Single,None,4.0,Unknown/None,40.0,Bank,For free,1.0,Unemployed/unskilled non-resident,1.0,Registered,Yes,Good
0 - 200 DM,18.0,Critical,Radio/television,1795.0,< 100 DM,>= 7 years,3.0,Female,Married/Separated/Widowed,Guarantor,4.0,Real estate,48.0,Bank,Rent,2.0,Unskilled resident,1.0,Registered,Yes,Good
0 - 200 DM,48.0,Past delays,Other,7582.0,100 - 500 DM,Unemployed,2.0,Male,Single,None,4.0,Unknown/None,31.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,6.0,Critical,Radio/television,1169.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Real estate,67.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Critical,Radio/television,618.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Real estate,56.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,30.0,Critical,Car (used),10623.0,< 100 DM,>= 7 years,3.0,Male,Single,None,4.0,Unknown/None,38.0,None,For free,3.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
< 0 DM,24.0,Some paid back,Car (used),2812.0,Unknown/None,>= 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Real estate,26.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
No account,39.0,Some paid back,Car (used),8588.0,100 - 500 DM,>= 7 years,4.0,Male,Single,None,2.0,Car or other,45.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,24.0,Critical,Education,1927.0,Unknown/None,1 - 4 years,3.0,Female,Married/Separated/Widowed,None,2.0,Car or other,33.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,36.0,Critical,Car (used),5842.0,< 100 DM,>= 7 years,2.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,35.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
< 0 DM,24.0,Some paid back,Car (used),6579.0,< 100 DM,Unemployed,4.0,Male,Single,None,2.0,Unknown/None,29.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,36.0,Critical,Car (new),6614.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,34.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,9.0,Some paid back,Radio/television,2697.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,2.0,Real estate,32.0,None,Own,1.0,Employee,2.0,None,Yes,Good
< 0 DM,12.0,Critical,Car (used),1409.0,< 100 DM,>= 7 years,4.0,Male,Single,None,3.0,Real estate,54.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Radio/television,3213.0,500 - 1000 DM,< 1 year,1.0,Male,Married/Separated/Widowed,None,3.0,Real estate,25.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Car (new),2463.0,100 - 500 DM,4 - 7 years,4.0,Male,Married/Separated/Widowed,None,3.0,Bldg. society savings / Life insurance,27.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Critical,Business,2825.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,3.0,Unknown/None,34.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
No account,15.0,Critical,Furniture/equipment,3343.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Unknown/None,28.0,None,For free,1.0,Employee,1.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Radio/television,2214.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,24.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,6.0,Critical,Retraining,932.0,Unknown/None,4 - 7 years,1.0,Female,Married/Separated/Widowed,None,3.0,Bldg. society savings / Life insurance,39.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,6.0,Critical,Car (new),2080.0,500 - 1000 DM,1 - 4 years,1.0,Male,Married/Separated/Widowed,None,2.0,Car or other,24.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Radio/television,458.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,3.0,Real estate,24.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,6.0,Some paid back,Car (new),709.0,>= 1000 DM,< 1 year,2.0,Male,Married/Separated/Widowed,None,2.0,Real estate,27.0,None,Own,1.0,Unemployed/unskilled non-resident,1.0,None,No,Good
< 0 DM,24.0,Some paid back,Furniture/equipment,3021.0,< 100 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,2.0,Real estate,24.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,20.0,Some paid back,Car (used),6468.0,Unknown/None,Unemployed,1.0,Male,Married/Separated/Widowed,None,4.0,Real estate,60.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,18.0,Critical,Radio/television,2404.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,2.0,Car or other,26.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Some paid back,Radio/television,625.0,< 100 DM,< 1 year,4.0,Male,Married/Separated/Widowed,Guarantor,1.0,Real estate,26.0,Bank,Own,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,24.0,Critical,Car (used),2957.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,63.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,6.0,Critical,Radio/television,1554.0,< 100 DM,4 - 7 years,1.0,Female,Married/Separated/Widowed,None,2.0,Car or other,24.0,None,Rent,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,36.0,Some paid back,Education,3711.0,Unknown/None,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,2.0,Car or other,27.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,4.0,Critical,Car (new),1455.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,1.0,Real estate,42.0,None,Own,3.0,Unskilled resident,2.0,None,Yes,Good
< 0 DM,39.0,Critical,Furniture/equipment,14179.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,30.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,42.0,Some paid back,Furniture/equipment,7882.0,< 100 DM,4 - 7 years,2.0,Male,Single,Guarantor,4.0,Bldg. society savings / Life insurance,45.0,None,For free,1.0,Employee,2.0,None,Yes,Good
< 0 DM,8.0,Critical,Car (new),3398.0,< 100 DM,4 - 7 years,1.0,Male,Single,None,4.0,Real estate,39.0,None,Own,2.0,Unskilled resident,1.0,None,No,Good
< 0 DM,6.0,Critical,Furniture/equipment,1872.0,< 100 DM,Unemployed,4.0,Male,Single,None,4.0,Unknown/None,36.0,None,For free,3.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Business,1542.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,4.0,Car or other,36.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,10.0,Some paid back,Retraining,894.0,Unknown/None,4 - 7 years,4.0,Female,Married/Separated/Widowed,None,3.0,Bldg. society savings / Life insurance,40.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Critical,Radio/television,2424.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,53.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,36.0,Some paid back,Radio/television,2394.0,Unknown/None,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,25.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,48.0,Critical,Business,7629.0,Unknown/None,>= 7 years,4.0,Male,Married/Separated/Widowed,None,2.0,Car or other,46.0,Bank,Own,2.0,Mgmt / Self-employed / other,2.0,None,Yes,Good
< 0 DM,15.0,Some paid back,Business,806.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,22.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,20.0,Some paid back,Furniture/equipment,2212.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,4.0,Car or other,39.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,18.0,Critical,Radio/television,1098.0,< 100 DM,Unemployed,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,65.0,None,Own,2.0,Unemployed/unskilled non-resident,1.0,None,Yes,Good
No account,30.0,Some paid back,Car (used),4811.0,Unknown/None,4 - 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,24.0,Stores,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Other,6314.0,< 100 DM,Unemployed,4.0,Male,Single,Co-applicant,2.0,Unknown/None,27.0,Bank,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,15.0,Some paid back,Furniture/equipment,2708.0,< 100 DM,< 1 year,2.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,27.0,Bank,Own,2.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,12.0,Critical,Car (new),958.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,3.0,Real estate,47.0,None,Own,2.0,Unskilled resident,2.0,None,Yes,Good
No account,18.0,Critical,Radio/television,1800.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,24.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,9.0,Critical,Car (new),1224.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,1.0,Real estate,30.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,12.0,Past delays,Car (used),1503.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,4.0,Real estate,41.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
No account,30.0,Critical,Radio/television,6742.0,Unknown/None,4 - 7 years,2.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,36.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Car (new),1940.0,>= 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Real estate,60.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,9.0,Some paid back,Radio/television,1206.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,25.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,36.0,Some paid back,Business,7409.0,Unknown/None,>= 7 years,3.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,37.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,15.0,Critical,Radio/television,2728.0,Unknown/None,4 - 7 years,4.0,Male,Single,Guarantor,2.0,Real estate,35.0,Bank,Own,3.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Critical,Radio/television,1516.0,>= 1000 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,1.0,Real estate,43.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
No account,27.0,Some paid back,Repairs,5190.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,48.0,None,Own,4.0,Employee,2.0,Registered,Yes,Good
< 0 DM,36.0,Some paid back,Furniture/equipment,3959.0,< 100 DM,Unemployed,4.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,30.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,6.0,Some paid back,Radio/television,753.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,Guarantor,3.0,Real estate,64.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,42.0,Critical,Car (used),4796.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,56.0,None,For free,1.0,Employee,1.0,None,Yes,Good
No account,9.0,Some paid back,Education,3832.0,Unknown/None,>= 7 years,1.0,Male,Single,None,4.0,Real estate,64.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Education,1597.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,54.0,None,For free,2.0,Employee,2.0,None,Yes,Good
No account,18.0,Critical,Radio/television,1169.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,29.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,10.0,Critical,Radio/television,1347.0,Unknown/None,4 - 7 years,4.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,27.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Past delays,Business,6967.0,100 - 500 DM,4 - 7 years,4.0,Male,Single,None,4.0,Car or other,36.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,48.0,All paid back,Business,3609.0,< 100 DM,1 - 4 years,1.0,Female,Married/Separated/Widowed,None,1.0,Real estate,27.0,Stores,Own,1.0,Employee,1.0,None,Yes,Good
No account,15.0,Some paid back,Radio/television,1979.0,Unknown/None,>= 7 years,4.0,Male,Single,None,2.0,Car or other,35.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,6.0,Critical,Education,1047.0,< 100 DM,1 - 4 years,2.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,50.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,6.0,Some paid back,Car (new),1203.0,100 - 500 DM,>= 7 years,3.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,43.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,21.0,Critical,Car (used),3275.0,< 100 DM,>= 7 years,1.0,Male,Single,None,4.0,Car or other,36.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,36.0,Some paid back,Car (used),6948.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,2.0,Car or other,35.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,24.0,Critical,Furniture/equipment,2028.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,30.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
